lastName,firstName,country,univ
Aguiar,Ademar,Portugal,University of Porto
Ahmad,Muhammad Ovais,Sweden,Karlstad University
Almeida,Fernando,Portugal,University of Porto
Aziz Butt,Shariq,Pakistan,superior university
Bagnato,Alessandra,France,Softeam
Barata,João,Portugal,University of Coimbra
Behutiye,Woubshet,Finland,University of Oulu
Buchalcevova,Alena,Czech Republic,University of Economics
Buchmann,Robert Andrei,Romania,Babeș-Bolyai University of Cluj Napoca
Da Silva,Tiago Silva,Brazil,Universidade Federal de São Paulo
Derezinska,Anna,Poland,"Institute of Computer Science, Warsaw University of Technology"
Dutta,Arpita,Singapore,National University of Singapore
Francillette,Yannick,Canada,UQAC
García-Mireles,Gabriel,Mexico,Universidad de Sonora
Giaro,Krzysztof,Poland,Gdansk University of Technology
Gorschek,Tony,Sweden,Blekinge Institute of Technology
Gregory,Peggy,United Kingdom,University of Glasgow
Guerra,Eduardo,Brazil,Free University of Bolzen-Bolzano
Hanslo,Ridewaan,South Africa,University of Pretoria
Hawryszkiewycz,Igor,Australia,"University of Technology, Sydney"
Heng,Samedi,Belgium,UCLouvain
Huzar,Zbigniew,Poland,Wroclaw University of Technology
Janes,Andrea,Italy,Free University of Bozen-Bolzano
Jarzebowicz,Aleksander,Poland,Gdansk University of Technology
Johansson,Björn,Sweden,Linköping University
Kapitsaki,Georgia,Cyprus,University of Cyprus
Karagiannis,Dimitris,Austria,University of Vienna
Karpus,Aleksandra,Poland,Gdansk University of Technology
Katic,Marija,United Kingdom,University of London
Konorski,Jerzy,Poland,Gdansk University of Technology
Kopczyńska,Sylwia,Poland,Poznan University of Technology
Kosiuczenko,Piotr,Poland,Military University of Technology
Kropp,Martin,Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
Lassenius,Casper,Finland,Aalto University
Mahnič,Viljan,Slovenia,University of Ljubljana
Mangalaraj,George,United States,Western Illinois University
Marcinkowski,Bartosz,Poland,University of Gdansk
Matthies,Christoph,Germany,University of Potsdam
Maślankowski,Jacek,Poland,University of Gdańsk
Miler,Jakub,Poland,Gdansk University of Technology
Mira da Silva,Miguel,Portugal,Instituto Superior Técnico
Mishra,Alok,Norway,Norwegian University of Science and Technology
Misra,Sanjay,Norway,Institute For Energy Technology
Mohapatra,Durga Prasad,India,"NIT, Rourkela"
Morales Trujillo,Miguel Ehécatl,New Zealand,University of Canterbury
Muhammad,Waseem,Finland,University of Jyväskylä
Muszyńska,Karolina,Poland,University of Szczecin
Nawrocki,Jerzy,Poland,Poznan University of Technology
Neumann,Michael,Germany,Hochschule Hannover
Ng,Yen Ying,Poland,Nicolaus Copernicus University
Obwegeser,Nikolaus,Switzerland,Bern University of Applied Sciences
Ochodek,Mirosław,Poland,Poznan University of Technology
Ozkan,Necmettin,Turkey,Gebze Technical University
Pereira,Rui Humberto,Portugal,ISCAP/IPP
Pohl,Matthias,Germany,Otto-von-Guericke-Universität Magdeburg
Poniszewska-Maranda,Aneta,Poland,Lodz University of Technology
Poth,Alexander,Germany,Volkswagen AG
Przybylek,Michal,Poland,Warsaw University
Ramsin,Raman,Iran,Sharif University of Technology
Riel,Andreas,France,EMIRAcle c/o Grenoble Institute of Technology
Ristic,Sonja,Serbia,University of Novi Sad
Rossi,Bruno,Czech Republic,Masaryk University
Rybola,Zdenek,Czech Republic,Czech Technical University
Salin,Hannes,Sweden,Swedish Transport Administration
Schön,Eva-Maria,Germany,University of Applied Sciences Emden/Leer
Senapathi,Mali,New Zealand,Auckland University of Technology
Sikorski,Marcin,Poland,Gdansk University of Technology
Smialek,Michal,Poland,Warsaw University of Technology
Souza,Érica,Brazil,UTFPR
Spichkova,Maria,Australia,RMIT University
Strode,Diane,New Zealand,Whitireia Polytechnic
Stålhane,Tor,Norway,Norwegian University of Science and Technology
Swacha,Jakub,Poland,University of Szczecin
Sánchez-Gordón,Mary,Norway,Østfold University College
Taweel,Adel,United Kingdom,King’s College London/Birzeit University
Theobald,Sven,Germany,Fraunhofer IESE
Tsilionis,Konstantinos,Netherlands,Eindhoven University of Technology
Tuncel,Doruk,Germany,Siemens AG
Utz,Wilfrid,Germany,OMILAB gGmbH
Vara,Juan Manuel,Spain,Universidad Rey Juan Carlos
Vranić,Valentino,Slovakia,Slovak University of Technology in Bratislava
Wautelet,Yves,Belgium,Katholieke Universiteit Leuven
Winter,Dominique,Germany,HS Emden/Leer
Zhang,Zheying,Finland,Tampere University
